gene_symbol,adrenal gland,blood,bone marrow,brain,cecum,ganglia,heart,kidney,liver,lung,lymph nodes,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,salivary gland,skin,testis,thymus gland,thyroid gland,tongue,trachea,uterus
CPQ,28.8638,98.2514,36.8342,25.5703894736842,24.8972,21.422375,20.24565,66.3735,29.6307,36.1286,46.5457,33.813,41.8917,9.0501,36.34035,21.6079,29.0432,29.721,25.8206,18.8139666666667,14.8705,237.6467,18.7722,45.0915,53.4043
BPGM,41.2493,38.1359,198.8594,51.5077684210526,38.1495,54.161275,32.6543,49.5203,28.4606,28.4669,40.847,37.72855,22.9755,38.8495,29.48425,423.6652,28.1504,42.3488,48.374,49.8808666666667,33.2462,33.4758,45.3435,46.1274,49.0358
PEX14,23.63695,29.1728,25.4495,48.0411473684211,14.3946,12.354275,43.10255,44.9292,105.3824,141.5332,31.0304,25.3859,14.7995,12.9827,20.67815,76.8937,115.523,27.8399,23.578,33.2843333333333,52.323,76.0742,15.6208,35.6093,39.2752
ABCA1,73.8972,65.2345,35.3127,39.4166210526316,64.7544,60.91935,40.32115,32.0846,52,26.629,62.4768,100.99285,47.0166,28.0991,45.5839,61.3617,43.5036,58.3788,49.0602,38.3946333333333,35.0307,34.4164,39.9627,34.0437,80.3262
MED12,92.7175,94.7232,67.1202,45.7196736842105,44.6782,36.44515,55.2822,43.3846,69.9787,75.2747,68.4562,29.73515,51.5568,66.3947,42.86965,96.4091,66.1711,40.4268,35.6432,47.1437333333333,106.7756,63.4334,33.0837,58.6984,49.5844
TNFRSF1B,21.36285,539.1324,87.9058,17.6232631578947,18.4903,35.975625,42.3785,9.9759,35.745,54.4494,80.155,13.81675,19.2957,45.2833,22.8681,69.1748,10.6877,37.9323,34.8051,11.7499,58.08,27.2172,6.5748,32.4888,20.3175
SORL1,89.4146,2066.0195,434.135,408.207578947368,100.873,93.52365,90.6935,223.5878,356.6758,174.2558,160.2165,45.5746,113.555,237.1614,231.321,86.7082,387.1073,170.5646,96.7056,107.796366666667,227.317,167.1257,100.1864,199.5657,92.7061
MET,50.1784,47.6071,55.9844,50.4667947368421,78.3778,69.54555,53.1185,56.3291,76.7411,49.8492,55.0312,55.7183,67.5465,52.3917,63.09145,84.714,57.5514,58.1539,53.2912,46.7255,43.714,69.9513,58.6149,73.0838,65.9169
TRAPPC3,102.1408,96.4359,54.2959,85.8644368421053,63.0866,34.698225,71.161,91.6107,91.7773,123.4369,63.9951,84.9252,49.5732,78.168,87.3605,138.9458,95.1323,77.8439,38.7191,107.982966666667,104.3804,122.3084,65.2322,79.6267,75.0993
SPG11,89.4998,223.0381,86.7646,91.1761894736842,91.4685,51.0058,39.58595,91.9083,65.4446,67.5769,223.5773,93.2575,51.0106,160.6965,111.4998,62.2795,157.9914,133.9818,37.7134,117.9744,136.575,217.472,121.1237,133.0565,108.2775
MAP3K3,89.83335,108.9957,56.9895,56.5914842105263,36.3607,31.47925,84.4593,91.9083,64.9284,97.2941,50.1853,55.73205,35.0957,68.5338,71.749,111.8253,86.9327,29.3121,60.4605,84.5210666666667,84.7407,57.7747,54.4688,56.4232,63.7489
PMVK,172.61565,108.676,163.445,135.613573684211,163.446,83.790525,128.4508,198.7898,273.4792,175.8346,122.3332,69.9234,104.1371,132.4602,125.03905,71.4364,146.1352,71.53,48.9595,106.894633333333,158.4347,120.6262,148.5339,119.6085,69.1999
SNTA1,129.632,73.8969,108.897,192.441421052632,84.2247,115.97685,336.1695,133.3421,131.5086,94.2486,86.644,174.75195,117.7752,116.1701,91.13625,72.1001,119.2584,115.5472,57.7032,110.876866666667,85.3992,249.5852,194.8295,102.4362,100.8266
